binary,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6
1011111111101110111101111111110111111110111111111111110101000000000000000000000000000000000000000000000000,1,2,1.40976898,1.484893631,1.535110681,1.552502473
1011111111101110111111011011110111110101111111111100111011000000000000000000000000000000000000000000000000,1,2,1.459355167,1.550585135,1.56475177,1.565135823
1011111111101110111111111011110111111111111101111101110101000000000000000000000000000000000000000000000000,1,2,1.441485749,1.505829784,1.552485252,1.553181177
1011111111101110111111111111111101101101101011111111111111000000000000000000000000000000000000000000000000,1,2,1.46057674,1.564443207,1.583617707,1.615235694
1011111111101111001111111110110101111111100111111110011110000000000000000000000000000000000000000000000000,1,2,1.407848933,1.456321953,1.495470343,1.546473875
1011111111101111001111111111110111111011111111111111110011000000000000000000000000000000000000000000000000,1,2,1.47512167,1.520079624,1.555986992,1.572291876
1011111111101111010011111111010101111111111111110011110110000000000000000000000000000000000000000000000000,1,2,1.35014488,1.400053557,1.444690386,1.471039116
1011111111101111011001101111111000111111100111111111011011000000000000000000000000000000000000000000000000,1,2,1.467339329,1.522935421,1.560768975,1.575158073
1011111111101111011011111111110111111111111000011101111111000000000000000000000000000000000000000000000000,1,2,1.418649536,1.488302531,1.534857238,1.583336842
1011111111101111011100111111101111110111110111111111111111000000000000000000000000000000000000000000000000,1,2,1.41178061,1.486307802,1.539957952,1.583888707
1011111111101111011111011110111111111001111011011111111110000000000000000000000000000000000000000000000000,1,2,1.414514524,1.542157725,1.570449069,1.621027181
1011111111101111011111111111111111011011111111011101110111000000000000000000000000000000000000000000000000,1,2,1.456573667,1.510727154,1.520853339,1.520853339
1011111111101111100111101111111111100111111101110101111111000000000000000000000000000000000000000000000000,1,2,1.442132373,1.497086823,1.54018368,1.598926418
1011111111101111100111111001111111111111101100111011111101000000000000000000000000000000000000000000000000,1,2,1.380717737,1.462423859,1.509922166,1.527162637
1011111111101111100111111110111110011101111111111111111111000000000000000000000000000000000000000000000000,1,2,1.425829306,1.532335256,1.554310978,1.604117615
1011111111101111100111111111111111100111011111111111011011000000000000000000000000000000000000000000000000,1,2,1.432126966,1.475185656,1.494391998,1.49900211
1011111111101111101011111101100001111011110101111111111011000000000000000000000000000000000000000000000000,1,2,1.499339742,1.546095891,1.583177806,1.595743598
1011111111101111101110011111011101111010111111011011110011000000000000000000000000000000000000000000000000,1,2,1.368548885,1.427003465,1.468586052,1.494038587
1011111111101111101111111111111110110110111111111111111111000000000000000000000000000000000000000000000000,1,2,1.474598068,1.531295305,1.56564596,1.607317893
1011111111101111110111101111111111111110011111111010111111000000000000000000000000000000000000000000000000,1,2,1.413430192,1.482842162,1.518878104,1.561287843
1011111111101111110111110111111111110111011001101111111111000000000000000000000000000000000000000000000000,1,2,1.674757375,1.678548227,1.683479992,1.690873907
1011111111101111110111111011111111111111111111111111100110000000000000000000000000000000000000000000000000,1,2,1.369160823,1.433284467,1.461189622,1.468732468
1011111111101111110111111101111111111111111111100111001110000000000000000000000000000000000000000000000000,1,2,1.309373655,1.359181493,1.382562244,1.403589501
1011111111101111110111111111111111101111011111101111111111000000000000000000000000000000000000000000000000,1,2,1.434766479,1.498112839,1.53784667,1.577270945
1011111111101111111010111111111111111111111110111111101111000000000000000000000000000000000000000000000000,1,2,1.362370335,1.438431902,1.487713108,1.528523986
1011111111101111111011101111111011111110011111111110111110000000000000000000000000000000000000000000000000,1,2,1.42130242,1.479318138,1.512152067,1.539228064
1011111111101111111011111101111111111111101111111111111011000000000000000000000000000000000000000000000000,1,2,1.450736721,1.572851439,1.625719273,1.64228402
1011111111101111111011111110111111111011111111111111011111000000000000000000000000000000000000000000000000,1,2,1.435743834,1.502114254,1.546281098,1.586704885
1011111111101111111100011111111111111010111011111111011111000000000000000000000000000000000000000000000000,1,2,1.435278312,1.511129091,1.551175558,1.59441882
1011111111101111111100111101111111111111101101111110011101000000000000000000000000000000000000000000000000,1,2,1.331839774,1.420507948,1.473363675,1.498436952
1011111111101111111110011111111110111111101110111011111101000000000000000000000000000000000000000000000000,1,2,1.397741939,1.453374866,1.498059707,1.533659041
1011111111101111111110111011011111110011111110111110111110000000000000000000000000000000000000000000000000,1,2,1.514841876,1.578063703,1.614028093,1.650730481
1011111111101111111111011001111111111100111111111110111111000000000000000000000000000000000000000000000000,1,2,1.428890817,1.562377696,1.580589777,1.627257923
1011111111101111111111011110111111111111111111111011101011000000000000000000000000000000000000000000000000,1,2,1.231076657,1.28338304,1.325511367,1.345920497
1011111111101111111111110011111101011110011001101101111111000000000000000000000000000000000000000000000000,1,2,1.526009735,1.593050919,1.627270316,1.660320821
1011111111101111111111110111111101011111111110011010110111000000000000000000000000000000000000000000000000,1,2,1.432791064,1.47514448,1.493914041,1.501378025
1011111111101111111111110111111101111101101111111011011011000000000000000000000000000000000000000000000000,1,2,1.449045148,1.52111218,1.532511995,1.541377483
1011111111101111111111111011101111111111011111111101110110000000000000000000000000000000000000000000000000,1,2,1.442757225,1.520859552,1.556352777,1.556812829
1011111111101111111111111011110100011111101110011111111111000000000000000000000000000000000000000000000000,1,2,0,1.568400241,1.614497503,1.656473479
1011111111101111111111111011111111011111011111011111100110000000000000000000000000000000000000000000000000,1,2,1.361864164,1.43001055,1.453621333,1.46405757
1011111111101111111111111100011001111111000111101111111111000000000000000000000000000000000000000000000000,1,2,1.460656466,1.519877864,1.565427777,1.610757326
1011111111101111111111111101111111011111111110111011111101000000000000000000000000000000000000000000000000,1,2,1.34289516,1.425602931,1.476469591,1.510887377
1011111111101111111111111101111111111101111110111011111111000000000000000000000000000000000000000000000000,1,2,1.359325115,1.490482567,1.514625689,1.562266266
1011111111101111111111111110111111111111111111111111111111000000000000000000000000000000000000000000000000,1,2,1.395850801,1.472549093,1.527333189,1.573964046
