binary,Inlet_1,Inlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6
1011111111100111111111111111101111111111110011111111111111111111111101111111111111111111111111111111111001,1,2,1.44954708897444,1.47687865208221,1.5119165834495,1.53076104376221
1011111111100111111111111111110111011111111110111111111111111111110111111111111101111011011111101111101111,1,2,1.46064217789926,1.48440154105604,1.52492286058037,1.5460239867292
1011111111100111111111111111111111101111111011101111110111011111111011111101111001111111111011110001111111,1,2,1.44964338988477,1.47964688140892,1.51554122080793,1.54088862787559
1011111111101001110111110111010111011111111111101011000111111111010011111111111111111110111111111100110111,1,2,1.4268268027692,1.4527220208686,1.49547375763004,1.51358185845973
1011111111101010011101111011111111101111111110110111010111111111101110110111111111100110111100111111011101,1,2,1.46885201297334,1.51517116268515,1.55737689971718,1.57747776276262
1011111111101011100001111111101111111111111111111111100101011111110110101011111101111101011101011110111111,1,2,1.42135226075641,1.47311715088625,1.51232431466117,1.52764017902518
1011111111101011101101111111101110111101011101111011111010111101111111110111111111111111110111110011010111,1,2,1.44192813784049,1.48677424393519,1.52233674333803,1.54129766155273
1011111111101011110011111110111111111011111111000100111111111111111111111001011111111011011111111111011111,1,2,1.4532207541152,1.48485722574271,1.51746675179684,1.55087966803306
1011111111101011110111111011111110011111111111111001011111101111111111111110111100101111101111110111101111,1,2,1.49705292345237,1.52814743655602,1.5624104381938,1.58424756329879
1011111111101011111110111111101111101111111111111111111111111111111111101111101110101111011101101011011111,1,2,1.43572012975559,1.46846507288381,1.50826350470379,1.53164914691315
1011111111101011111111111111011111001111111011111111111111110011011110110111101110110111110111010111101110,1,2,1.3858458149771,1.41294187493142,1.45917299649258,1.48178197648514
1011111111101011111111111111111011111011111111111011110111111011101111111111010111111111110111110111111110,1,2,1.48583608693386,1.50753575066671,1.53741898033081,1.54989269290642
1011111111101100111111101111011111101111110111111111111111111111101111101111111111111111111111111101110011,1,2,1.43829531567797,1.46626264292374,1.50884625233622,1.53753532713804
1011111111101101010111111111001010101011111011101101111111001110111111111111111111111001111111010111111111,1,2,1.47248278480054,1.5000954773437,1.53345635094948,1.55299720033965
1011111111101101011101111111011111111110111111101111111111111111111111110110100111111111101011111111111110,1,2,1.39320165788937,1.42497916661749,1.46309142462537,1.49407130158618
1011111111101101111101111111110011011011111010110010111101111110111111011110111010111111110111010111111111,1,2,1.45646204585589,1.47976299170578,1.51993124740286,1.54180306093018
1011111111101101111110011010110111111111111010010111101011101101111111101101111101110111110111101111111111,1,2,1.44185238486047,1.47773422588021,1.51565963166372,1.545203864063
1011111111101101111111111011011111111111001011111101111011111111110010101011111111110111111011111111110011,1,2,1.43904585558006,1.46846941533065,1.51917227164115,1.52713751186084
1011111111101110100111110110011100111111111110100111111110011011111011111111101110111100110101111101001111,1,2,1.3984300409033,1.44406845866964,1.48085485244353,1.5105681735022
1011111111101110101101100011111110110000110111111111101110111101111111111011111011111111111100111110111011,1,2,1.48113709586555,1.52085348978042,1.55515770135096,1.57616322615036
1011111111101110101111110111111101110011111111111111101101111111110011110111111111101101111110110111111111,1,2,1.46790512201232,1.50026087052575,1.53325980993823,1.55357070457856
1011111111101110101111111110110011101111111101111111111111111111001011110101111011101111111111111111111110,1,2,1.45309333401841,1.47200275963363,1.50665507567981,1.53686735107617
1011111111101110111001101111111010001111111111111110101111110111111111111111111111101011101111111011111011,1,2,1.49133538970445,1.51289056455407,1.54540663714649,1.56468507813212
1011111111101110111010111111111111111101111110111110111111111111111111011111111111111111110110100111111011,1,2,1.44778184797564,1.48713105899776,1.53412338150681,1.55777289927996
1011111111101110111101100111111111111111111111111111111111111101111110111111111111111100111100111111110111,1,2,1.44337323877117,1.51552751177929,1.54884865713635,1.571984952471
1011111111101110111101101111111101110111011111111111111110110111101111111111111111111011111111111111111111,1,2,1.48064981391925,1.50211630758006,1.53557064310618,1.55606360916464
1011111111101110111101111110111110111111111111110111111111111111011111110111111111111101101110101111111110,1,2,1.44997560471277,1.49769827713,1.53659270515408,1.56111215186048
1011111111101110111101111111110111111110111111111111110101111111111011011111110011111011001101110101111101,1,2,1.4711351137764,1.49986382055597,1.54056207808398,1.55562306531164
